7W AfterBarn,N50 51.53,W01 20.82
4F AirCanada,N50 47.20,W01 17.00
2R Aquaspec,N50 45.43,W01 25.89
5K BAESystems,N50 47.08,W01 06.78
73 BaldHead,N50 49.80,W01 18.07
1E BarnesIngram,N50 41.56,W01 41.50
3J Baxters,N50 45.23,W01 20.69
6F BembridgeLedgeBuoy,N50 41.15,W01 02.81
2F Berthon,N50 44.20,W01 29.22
7M BirdPile,N50 51.72,W01 22.33
21 BlackRock,N50 42.57,W01 30.59
1H Bridge,N50 39.63,W01 36.88
5C Browndown,N50 46.57,W01 10.95
24 BWMoorings,N50 42.86,W01 28.42
7Y Cadland,N50 51.02,W01 20.54
4D Calshot,N50 48.44,W01 17.03
70 Cathead,N50 50.61,W01 19.24
3P Citymain,N50 45.78,W01 19.76
1C ColemanMarine,N50 40.31,W01 54.02
2C Colten,N50 43.83,W01 30.86
4B Coronation,N50 49.55,W01 17.62
3M CowesDinghyWeek,N50 45.62,W01 20.14
3E CowesRadio,N50 46.13,W01 22.19
5A Craftinsure.com,N50 45.03,W01 11.89
4G Cutter,N50 49.45,W01 16.91
5E DarlingAssociatesArchitects,N50 46.26,W01 08.76
6H DeanElbow,N50 43.69,W01 01.88
6N DeanTail,N50 42.99,W00 59.17
7J DeansElbow,N50 52.16,W01 22.76
7S DeansLake,N50 51.40,W01 21.59
2B Dunford,N50 43.38,W01 31.54
41 EastBramble,N50 47.23,W01 13.64
4H EastKnoll,N50 47.96,W01 16.83
3H EastLepe,N50 45.93,W01 21.07
2A Echopilot,N50 42.79,W01 32.53
3B eDigitalResearch,N50 44.18,W01 23.79
3F Elephant,N50 44.63,W01 21.88
40 FastnetInsurance,N50 47.66,W01 13.65
4N FlyingFish,N50 47.27,W01 15.90
2J FolkboatsUK,N50 45.11,W01 27.34
3C Garmin,N50 45.64,W01 23.12
22 GeorgeHotel,N50 42.86,W01 29.40
5M Gleeds,N50 46.16,W01 06.39
44 GoodacreYachtRepairs,N50 47.31,W01 12.10
7Z Greenland,N50 51.11,W01 20.38
3U Gurnard,N50 46.22,W01 18.84
3L GurnardLedge,N50 45.51,W01 20.59
3Q GurnardSC,N50 45.97,W01 19.45
7A Gymp,N50 53.17,W01 24.30
72 HamblePoint,N50 50.15,W01 18.66
4V HambleYachtServices,N50 48.13,W01 14.64
7X Hamblecliff,N50 51.28,W01 20.55
26 HamsteadLedge,N50 43.87,W01 26.18
25 Harken,N50 43.15,W01 27.49
4M HillHead,N50 48.07,W01 16.00
6D HorseElbow,N50 44.26,W01 03.88
5R HorseSandBuoy,N50 45.53,W01 05.27
6B HorseSandFort,N50 45.01,W01 04.34
6K HorseTail,N50 43.23,W01 00.23
7U Hound,N50 51.68,W01 21.52
7V Hovercraft1,N50 52.03,W01 21.22
7T Hovercraft2,N50 52.20,W01 21.57
7P Hovercraft3,N50 52.43,W01 22.00
7L Hovercraft4,N50 52.65,W01 22.43
7G Hythe4,N50 52.19,W01 23.10
7E Hythe5,N50 52.24,W01 23.18
7B HytheKnock,N50 52.83,W01 23.81
3X IslandSailingClub,N50 46.10,W01 18.43
7F Jib,N50 52.96,W01 23.06
5J KBBoatpark,N50 46.61,W01 07.29
5D KempsQuay,N50 45.18,W01 09.65
3T KMS,N50 46.10,W01 18.87
7R LainsLake,N50 51.59,W01 21.65
3K LepeSpit,N50 46.78,W01 20.64
2T LymingtonBank,N50 43.10,W01 30.85
43 MackleyConstruction,N50 46.16,W01 13.09
71 Mark,N50 49.56,W01 18.94
5N MaryRose,N50 45.80,W01 06.20
4R Meon,N50 49.18,W01 15.71
7H Moorhead,N50 52.55,W01 22.90
5B Motherbank,N50 45.49,W01 11.21
6J NabEast,N50 42.86,W01 00.80
6M NabEnd,N50 42.63,W00 59.49
6R NabTower,N50 40.08,W00 57.15
5H NaomiHouse,N50 46.82,W01 07.35
1F NeedlesFairway,N50 38.24,W01 38.98
1L NeedlesLighthouse,N50 39.73,W01 35.52
7Q Netley,N50 52.03,W01 21.81
6P NewGrounds,N50 41.84,W00 58.49
7C No1Swinging,N50 53.00,W01 23.44
6A NoMan'sLandFort,N50 44.40,W01 05.70
4T Norris,N50 45.97,W01 15.51
3R NorthEastGurnard,N50 47.06,W01 19.42
46 NorthEastRydeMiddle,N50 46.21,W01 11.88
1N NorthEastShingles,N50 41.96,W01 33.41
1K NorthHead,N50 42.69,W01 35.52
4Y NorthRydeMiddle,N50 46.61,W01 14.31
5F NorthSturbridge,N50 45.33,W01 08.23
7K NWNetley,N50 52.31,W01 22.73
6S OuterNabNo2,N50 38.43,W00 57.70
5Q OuterSpit,N50 45.58,W01 05.50
2H PaulJackson,N50 44.30,W01 28.16
42 PeelBank,N50 45.49,W01 13.34
4X Peters&May2,N50 45.53,W01 14.39
1A PeverilLedge,N50 36.41,W01 56.10
5L PlaneLegal,N50 44.35 ,W01 06.50 
1B PooleBarNo1,N50 39.31,W01 55.16
33 PrinceConsort,N50 46.42,W01 17.59
3N Quinnell,N50 47.07,W01 19.88
2K QuodPossumus!,N50 44.83,W01 26.09
3G Raymarine,N50 46.58,W01 21.46
4A Reach,N50 49.05,W01 17.65
5G RNC&RAYC,N50 46.42,W01 07.90
30 RORC,N50 47.12,W01 17.72
4E RoyalLondon,N50 47.67,W01 17.00
7N RoyalSouthampton,N50 51.76,W01 22.28
4S RoyalSouthern,N50 48.88,W01 15.57
3S RoyalThames,N50 47.81,W01 19.25
5S SaddleBuoy,N50 45.20,W01 05.00
3D SaltMead,N50 44.52,W01 23.04
20 Sconce,N50 42.53,W01 31.43
4K SeafarersAle,N50 46.15,W01 16.65
1J ShinglesElbow,N50 40.37,W01 36.05
32 Snowden,N50 46.20,W01 17.75
2X SolentBank,N50 44.23,W01 27.37
31 SouthBramble,N50 46.98,W01 17.72
4Q SouthCoastSailing,N50 48.46,W01 15.72
45 SouthEastRydeMiddle,N50 45.93,W01 12.09
4Z SouthRydeMiddle,N50 46.13,W01 14.16
1G SouthWestShingles,N50 39.35,W01 37.39
74 Sposa,N50 49.66,W01 17.59
6G StHelens,N50 43.36,W01 02.41
4C StormforceCoaching,N50 49.21,W01 17.46
4U SunsailRacing,N50 46.43,W01 15.09
3Z TrinityHouseBuoy,N50 46.31,W01 17.75
4W UniversalMarina,N50 47.33,W01 14.59
5P VailWilliams,N50 46.51,W01 05.98
1M Warden,N50 41.48,W01 33.55
6C Warner,N50 43.87,W01 03.99
3V WestBramble,N50 47.20,W01 18.65
3Y WestKnoll,N50 47.43,W01 17.84
3A WestLepe,N50 45.24,W01 24.09
6E WestPrincessa,N50 40.16,W01 03.65
